state,name,uf,inserted_at,updated_at
Minas Gerais,Caetanopolis,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Belmiro Braga,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Santa Catarina,Lages,SC,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Norte,Frutuoso Gomes,RN,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Tocantins,Fatima,TO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Santa Catarina,Itajai,SC,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rondonia,Machadinho D'Oeste,RO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Guanhaes,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Espirito Santo,Linhares,ES,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Paratinga,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Piaui,Anisio de Abreu,PI,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Pernambuco,Carnaubeira da Penha,PE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Tocantins,Guarai,TO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Assai,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Macedonia,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Entre Rios,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Paraiba,Cajazeirinhas,PB,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Para,Terra Alta,PA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Lago da Pedra,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Coribe,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Goias,Castelandia,GO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Piaui,Porto,PI,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Vera Cruz,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Para,Moju,PA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Piaui,Itainopolis,PI,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Norte,Felipe Guerra,RN,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Norte,Taboleiro Grande,RN,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Piaui,Jose de Freitas,PI,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Itu,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Mato Grosso,Tesouro,MT,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Sao Jose do Norte,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Santana da Ponte Pensa,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Espirito Santo,Sooretama,ES,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Santa Catarina,Meleiro,SC,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Sant'Ana do Livramento,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Ceara,Camocim,CE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio de Janeiro,Aperibe,RJ,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Roraima,Normandia,RR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Tocantins,Praia Norte,TO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Piaui,Alvorada do Gurgueia,PI,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Barra Bonita,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Piaui,Hugo Napoleao,PI,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Para de Minas,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Para,Breu Branco,PA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio de Janeiro,Trajano de Moraes,RJ,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Pernambuco,Camutanga,PE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Siqueira Campos,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Baianopolis,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rondonia,Parecis,RO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
